,geneID,base.mean,log2fc,stnderr,wald.stat,pvalue,padj,diffexpressed,idlabel
1,ENSG00000130600.19,2185.775987,-7.598876195,0.452047834,-16.80989406,2.07E-63,2.11E-59,DOWN,6303
2,ENSG00000160932.11,454.9848409,-7.580242658,0.580893009,-13.04929229,6.41E-39,3.27E-35,DOWN,10566
3,ENSG00000231925.12,256.3626741,-8.751541692,0.697485629,-12.5472717,4.11E-36,1.40E-32,DOWN,31474
4,ENSG00000231500.7,262.5552345,-8.72671076,0.701872438,-12.43347123,1.72E-35,4.39E-32,DOWN,31143
5,ENSG00000204592.9,234.1492159,-8.558053511,0.708315896,-12.08225532,1.31E-33,2.67E-30,DOWN,19959
6,ENSG00000204469.13,182.9979599,-7.954339383,0.664594404,-11.96871255,5.18E-33,8.81E-30,DOWN,19907
7,ENSG00000281181.1,1237.566264,-5.627261589,0.476878697,-11.80019494,3.89E-32,5.67E-29,DOWN,60370
8,ENSG00000206503.13,168.7551271,-7.405054345,0.638371436,-11.59991492,4.12E-31,5.26E-28,DOWN,20538
9,ENSG00000170889.14,167.4712934,-8.166531125,0.718331687,-11.36874688,5.98E-30,6.78E-27,DOWN,12935
10,ENSG00000280614.1,1221.893343,-6.648516139,0.585725859,-11.35090083,7.34E-30,7.49E-27,DOWN,60050
11,ENSG00000179950.14,122.4226138,-7.501792244,0.688440794,-10.89678635,1.19E-27,1.11E-24,DOWN,14788
12,ENSG00000196230.13,118.7581059,-7.766042634,0.729027532,-10.65260541,1.70E-26,1.44E-23,DOWN,17044
13,ENSG00000204256.13,124.3480332,-7.757145003,0.734076982,-10.56720915,4.23E-26,3.32E-23,DOWN,19817
14,ENSG00000204394.13,104.3505525,-7.641493813,0.730902177,-10.45487898,1.39E-25,1.01E-22,DOWN,19876
15,ENSG00000197766.8,125.3317985,-7.590107799,0.750221528,-10.11715542,4.64E-24,3.15E-21,DOWN,17539
16,ENSG00000170906.16,92.44218,-7.447984843,0.740166056,-10.06258634,8.08E-24,5.15E-21,DOWN,12942
17,ENSG00000227057.10,85.19953868,-7.379879214,0.740269123,-9.96918416,2.08E-23,1.25E-20,DOWN,27715
18,ENSG00000174775.17,76.62182519,-6.56733278,0.666139665,-9.85879257,6.28E-23,3.56E-20,DOWN,13768
19,ENSG00000157873.17,85.65296225,-7.315930837,0.747065407,-9.792891979,1.21E-22,6.48E-20,DOWN,10161
20,ENSG00000204681.11,78.51374983,-7.263276816,0.745190584,-9.746871429,1.90E-22,9.70E-20,DOWN,20001
21,ENSG00000167193.8,94.34801304,-4.489782292,0.46611782,-9.632290597,5.84E-22,2.84E-19,DOWN,12056
22,ENSG00000112514.18,73.37781988,-7.142915427,0.752299183,-9.494780258,2.21E-21,1.02E-18,DOWN,4080
23,ENSG00000242086.8,75.00120863,-6.778254065,0.721487802,-9.394828358,5.73E-21,2.54E-18,DOWN,37926
24,ENSG00000137312.15,67.52150924,-7.041090026,0.755749107,-9.316703066,1.20E-20,5.10E-18,DOWN,7459
25,ENSG00000213722.9,65.39886199,-6.971977615,0.760548866,-9.167034396,4.86E-20,1.98E-17,DOWN,22661
26,ENSG00000104518.11,63.0223518,-6.953423302,0.759392504,-9.156560358,5.36E-20,2.10E-17,DOWN,2935
27,ENSG00000112511.18,64.49405251,-6.951486443,0.761285339,-9.131249594,6.77E-20,2.56E-17,DOWN,4079
28,ENSG00000090565.17,58.36250858,-6.907367043,0.757774441,-9.115333886,7.84E-20,2.86E-17,DOWN,1887
29,ENSG00000104522.16,58.40132776,-6.896786987,0.759111617,-9.085339801,1.03E-19,3.64E-17,DOWN,2936
30,ENSG00000100605.17,64.02118657,-6.920802379,0.763860741,-9.060293336,1.30E-19,4.42E-17,DOWN,2359
31,ENSG00000204574.13,56.74399565,-6.85683188,0.760038938,-9.021684987,1.85E-19,6.09E-17,DOWN,19950
32,ENSG00000204227.5,56.19654999,-6.845530942,0.761009414,-8.995330171,2.36E-19,7.51E-17,DOWN,19807
33,ENSG00000174231.17,55.59548158,-6.8272304,0.761435796,-8.966258794,3.07E-19,9.48E-17,DOWN,13674
34,ENSG00000185507.21,65.00932521,-6.856885722,0.771326782,-8.889728556,6.13E-19,1.84E-16,DOWN,16012
35,ENSG00000204371.11,56.3436905,-6.794959012,0.765942821,-8.87136588,7.23E-19,2.11E-16,DOWN,19863
36,ENSG00000161048.11,58.4322901,-5.578227064,0.63206282,-8.825431415,1.09E-18,3.09E-16,DOWN,10589
37,ENSG00000054282.16,61.02445919,-4.887465926,0.555291475,-8.80162247,1.35E-18,3.72E-16,DOWN,725
38,ENSG00000064932.16,51.3389239,-6.291579058,0.716059742,-8.786388462,1.54E-18,4.14E-16,DOWN,903
39,ENSG00000116521.11,55.97134865,-6.75457628,0.769987531,-8.772319045,1.75E-18,4.58E-16,DOWN,4584
40,ENSG00000153406.13,50.9934242,-6.690287962,0.76859519,-8.704566523,3.19E-18,8.13E-16,DOWN,9670
41,ENSG00000213719.8,52.41749742,-6.695782076,0.770924575,-8.685391922,3.77E-18,9.39E-16,DOWN,22659
42,ENSG00000147813.16,48.52010591,-6.648746386,0.769221147,-8.643478427,5.45E-18,1.29E-15,DOWN,9036
43,ENSG00000204257.15,51.33431221,-6.331748275,0.732341121,-8.645900238,5.34E-18,1.29E-15,DOWN,19818
44,ENSG00000104728.16,46.42990105,-6.61925345,0.768508238,-8.613119702,7.11E-18,1.65E-15,DOWN,2956
45,ENSG00000167617.3,46.91762342,-6.157266293,0.721113897,-8.538548932,1.36E-17,3.08E-15,DOWN,12150
